Event_id,cause_of_death,CartoDB_Cause_of_death,dataset,date,quarter,Date-month,Year,dead,missing,dead_and_missing,description,location,latitude,longitude,latlong,Somme Dedoublement,name,route,source,source_url
72726,drowned,drowning or exhaustion related death,SZ,2014-10-01T00:00:00Z,4Q2014,2014 -- 10,2014,2,6,8,a dinghy carrying 8 migrants sank,Off Morocco,35.94,-5.38,"35.94, -5.38",8,Event off Morocco,Central Mediterranean Route,AFP,
51989,drowned,drowning or exhaustion related death,,2014-01-19T00:00:00Z,1Q2014,2014 -- 1,2014,4,5,12,Greek coast guards pushed back on the migrants' boat as they were a few hundreds meters from the coast of Farmakonisi island.,"Farmakonisi, Greece",37.282956,27.088338,"37.282956, 27.088338",15,"At Farmakonisi on  January 19, 2014",Eastern Mediterranean Route Sea,SZ,http://www.sueddeutsche.de/politik/vorwuerfe-wegen-toten-vor-griechischer-insel-grenzschuetzer-sollen-fluechtlinge-aufs-meer-geschleppt-haben-1.1887459
54047,drowned,drowning or exhaustion related death,,2013-09-29T05:00:00Z,3Q2013,2013 -- 9,2013,0,0,10,"Boat ran aground, migrants drowned trying to reach the shore. The others were saved after tourists alerted the authorities.","Scicli, Italy",36.793212,14.706973,"36.793212, 14.706973",12,"Shipwreck near Sclicli on September 30, 2013",Central Mediterranean Route,tagesspiegel,http://www.tagesspiegel.de/weltspiegel/unglueck-auf-dem-mittelmeer-zehn-fluechtlinge-vor-sizilien-ertrunken/8866422.html
33791,drowned,drowning or exhaustion related death,Del grande,2013-09-29T00:00:00Z,3Q2013,2013 -- 9,2013,0,0,13,"Landing in Catania, forced to jump into the sea by traffickers, drowning 13 people (Sep 30, 2013)",catania,37.508039,15.082851,"37.508039, 15.082851",20,"Event at Catania on Sep 29, 2013",Central Mediteranean route,Repubblica,http://palermo.repubblica.it/cronaca/2013/09/30/news/sbarco_tragico_a_ragusa_annegano_tredici_immigrati-67571864/
69744,police violence,authorities related death,,2013-09-21T00:00:00Z,3Q2013,2013 -- 9,2013,1,0,1,A man was beaten to death in Angoulême. The police did not comment on the case.,"Grande Garenne, Angouleme",45.649502,0.12473,"45.649502, 0.12473",1,Death of an undocumented migrant in Angouleme on 21 September 2013,,Ouest-France,
33792,shot by the police,authorities related death,Del grande,2013-09-18T00:00:00Z,3Q2013,2013 -- 9,2013,0,0,2,"The Egyptian coast guard opened fire on a boat load of Syrians traveling to Italy on the route of smuggling. Two dead on board, including a woman. (Sep 19, 2013)",egypt,26.820553,30.802498,"26.820553, 30.802498",427,"Event at Egypt on Sep 18, 2013",Eastern Mediteranean route Sea,Repubblica,http://www.repubblica.it/solidarieta/2013/09/19/news/egitto_guardia_costiera_spara_su_barca_di_rifugiati_siriani_diretta_verso_l_italia-66861534/
33794,drowned,drowning or exhaustion related death,Del grande,2013-09-16T00:00:00Z,3Q2013,2013 -- 9,2013,0,0,1,"Found a few miles from Punta Almina, Ceuta, a small boat capsized in the sea along with the lifeless body of one of his passengers (Sep 17, 2013)",punta,28.569022,-16.324539,"28.569022, -16.324539",53,"Event at Punta on Sep 16, 2013",Western African route,Abc,http://www.abc.es/espana/20130916/abci-cadaver-inmigrantes-201309161435.html
33793,drowned,drowning or exhaustion related death,Del grande,2013-09-16T00:00:00Z,3Q2013,2013 -- 9,2013,0,0,12,"Shipwreck in the waters of Ceuta, is looking for 12 missing at sea (Sep 17, 2013)",ceuta,35.888384,-5.324636,"35.888384, -5.324636",213,"Event at Ceuta on Sep 16, 2013",Western Mediteranean route,Diario Sur,http://www.diariosur.es/v/20130917/melilla/buscan-doce-inmigrantes-desaparecidos-20130917.html
53703,exhaustion,drowning or exhaustion related death,Puls,2013-09-12T00:00:00Z,3Q2013,2013 -- 9,2013,0,0,60,A group of about sixty people of different nationalities separated in the area between Ajdabiya and Tobruk before getting lost.,"Ajdabiya, Libya",30.755556,20.225278,"30.755556, 20.225278",60,"Event at Ajdabiya, Libya on September 12, 2013",Central Mediteranean route,Ansa,http://www.ansa.it/ansamed/en/news/sections/generalnews/2013/10/31/Immigration-10-60-lost-Libyan-desert-found_9549184.html
53702,burned,"violent accidental death (transport, blown in minefield...)",Puls,2013-09-12T00:00:00Z,3Q2013,2013 -- 9,2013,0,0,3,Greek authorities locked up a Syrian refugee for weeks as his wife and two children died in a wildfire on an island where a smuggler had left them.,"Samos, Greece",37.743215,26.820351,"37.743215, 26.820351",218,"Event at Samos, Greece on September 12, 2013",Eastern Mediteranean route Sea,Diktyo,http://www.dailystar.com.lb/News/Middle-East/2013/Sep-12/230999-syrian-refugee-detained-in-greece-as-family-burned-rights-group.ashx
53701,drowned,drowning or exhaustion related death,Puls,2013-09-09T00:00:00Z,3Q2013,2013 -- 9,2013,0,0,1,"One Syrian woman died during an eight-day voyage on a boat carrying 354 other refugees. The woman was a nurse in Damascus and her husband gave his permission for the donor use of her liver and kidneys, which saved three Italian patients.",Sicily,37.599994,14.015356,"37.599994, 14.015356",363,"Event at Sicily on September 9, 2013",Central Mediteranean route,Channel Africa,http://www.channelafrica.org/portal/site/ChannelAfrica/menuitem.0440eb803775db47ee41ee41674daeb9/?vgnextoid=66e88101fa101410VgnVCM10000077d4ea9bRCRD&vgnextfmt=default
63112,unknown,unknown - supposedly exhaustion related death,,2013-09-07T00:00:00Z,3Q2013,2013 -- 9,2013,1,0,1,,"Haardstee, Amsterdam",52.311057,4.952201,"52.311057, 4.952201",1,Somali refugee dies in the Netherland in September 2013,,Dichtbij,
33795,drowned,drowning or exhaustion related death,Del grande,2013-08-10T00:00:00Z,3Q2013,2013 -- 8,2013,0,0,6,"A boat runs aground just 15 meters from the shore, in Catania. At the landing, passengers drown 6 (Aug 11, 2013)",catania,37.508039,15.082851,"37.508039, 15.082851",20,"Event at Catania on Aug 10, 2013",Central Mediteranean route,Repubblica,http://ricerca.repubblica.it/repubblica/archivio/repubblica/2013/08/11/la-strage-dei-ragazzi-in-fuga-dalla.html?ref=search
33796,illness,drowning or exhaustion related death,Del grande,2013-08-09T00:00:00Z,3Q2013,2013 -- 8,2013,0,0,1,"A 31-year old Moroccan prisoner dies in the Centre for Identification and Expulsion (CIE) for an illness of Crotone, in circumstances not yet clarified (Aug 10, 2013)",crotone,39.080793,17.12711,"39.080793, 17.12711",2,"Event at Crotone on Aug 09, 2013",Apulia & Calbria,Repubblica,http://www.repubblica.it/solidarieta/immigrazione/2013/08/19/news/chiuso_il_cie_di_crotone_devastato_da_una_rivolta_dopo_la_morte_di_un_immigrato-64989177/?ref=search
53700,drowned,drowning or exhaustion related death,Puls,2013-08-04T00:00:00Z,3Q2013,2013 -- 8,2013,0,0,3,Three female migrants died during a voyage to Europe in a rubber dinghy and 174 others were rescued.,Lampedusa,35.508622,12.59292,"35.508622, 12.59292",3843,"Event at Lampedusa on August 4, 2013",Central Mediteranean route,Naharnet,http://www.naharnet.com/stories/en/93135-three-migrants-drown-on-perilous-trek-to-italy-in-rubber-dinghy
33797,unknown,unknown - supposedly exhaustion related death,Del grande,2013-07-31T00:00:00Z,3Q2013,2013 -- 7,2013,0,0,1,"Boat adrift between Tangier and Tarifa in the Straits of Gibraltar. Despite the rescue of the Spanish coast guard, one of eight passenger dies on board (Aug 1, 2013)",tarifa,36.018776,-5.600819,"36.018776, -5.600819",492,"Event at Tarifa on Jul 31, 2013",Western Mediteranean route,Abc,http://www.abc.es/agencias/noticia.asp?noticia=1470784
53697,drowned,drowning or exhaustion related death,Puls,2013-07-31T00:00:00Z,3Q2013,2013 -- 7,2013,0,0,24,A speed boat carrying migrants capsized.,"Tavaklı, Turkey",39.671689,26.196498,"39.671689, 26.196498",24,"Event at Tavaklı, Turkey on July 31, 2013",Eastern Mediteranean route Sea,Hürriyet,http://www.hurriyetdailynews.com/at-least-24-illegal-migrants-drown-in-aegean-sea.aspx?pageID=238&nid=51748&NewsCatID=359
53698,drowned,drowning or exhaustion related death,Puls,2013-07-29T00:00:00Z,3Q2013,2013 -- 7,2013,0,0,31,A dinghy carrying 53 migrants capsized.,Malta,35.937496,14.375416,"35.937496, 14.375416",655,"Event at Malta on July 29, 2013",Central Mediteranean route,TOM,http://www.timesofmalta.com/articles/view/20130729/local/press-digest.479895
53699,died (presumably) from ill treatments,malicious intent related death / manslaughter,Puls,2013-07-29T00:00:00Z,3Q2013,2013 -- 7,2013,0,0,1,An Afghan detainee dies from a lung infection that his guards ignored for months.,Amygdaleza detention center,37.983716,23.72931,"37.983716, 23.72931",13,"Event at Amygdaleza detention center on July 29, 2013",,KEERFA,http://news.kuwaittimes.net/hunt-in-athens-after-detention-camp-riot/
33798,drowned,drowning or exhaustion related death,Del grande,2013-07-27T00:00:00Z,3Q2013,2013 -- 7,2013,0,0,31,"Inflatable direct Lampedusa spilling into the sea 29 miles off the Libyan coast, drowning 31 of the 53 passengers, including 9 women (Jul 28, 2013)",lampedusa,35.508622,12.59292,"35.508622, 12.59292",3843,"Event at Lampedusa on Jul 27, 2013",Central Mediteranean route,Repubblica,http://www.repubblica.it/cronaca/2013/07/28/news/immigrazione_naufragio_31_morti-63857909/?ref=search
33799,drowned,drowning or exhaustion related death,Del grande,2013-07-26T00:00:00Z,3Q2013,2013 -- 7,2013,0,0,2,"Found two more bodies in the waters of Kos after the wreck yesterday. It is of two children, one of five years and the other eight (Jul 27, 2013)",kos,36.799851,27.102943,"36.799851, 27.102943",119,"Event at Kos on Jul 26, 2013",Eastern Mediteranean route Sea,Ekathimerini,http://www.ekathimerini.com/4dcgi/_w_articles_wsite1_1_27/07/2013_511538
69694,heart failure,drowning or exhaustion related death,,2013-07-26T00:00:00Z,3Q2013,2013 -- 7,2013,1,0,1,Tahir Mehmood was found collapsed at the Pennine House facility. It is thought that he suffered a heart attack while awaiting deportation.,Manchester airport,53.366786,-2.279768,"53.366786, -2.279768",1,Death at Pennine House on 26 July 2013,,Manchester Evening News,
33800,drowned,drowning or exhaustion related death,Del grande,2013-07-25T00:00:00Z,3Q2013,2013 -- 7,2013,0,0,10,"Shipwreck off the island of Kos, only one survivor. Found the lifeless bodies of a little girl, 2 women and a man. 8 other passengers still missing (Jul 26, 2013)",kos,36.799851,27.102943,"36.799851, 27.102943",119,"Event at Kos on Jul 25, 2013",Eastern Mediteranean route Sea,Ekathimerini,http://www.ekathimerini.com/4dcgi/_w_articles_wsite1_1_26/07/2013_511396
33802,heart failure,drowning or exhaustion related death,Del grande,2013-07-24T00:00:00Z,3Q2013,2013 -- 7,2013,0,0,1,"About forty men assail the barrier on the border of the Spanish enclave of Melilla, Morocco, and manage to cross the border. One of them, however, died of a cardiorespiratory attack (Jul 25, 2013)",melilla,35.292278,-2.938097,"35.292278, -2.938097",79,"Event at Melilla on Jul 24, 2013",Western Mediteranean route,Abc,http://www.abc.es/espana/20130725/rc-nuevo-asalto-valla-melilla-201307251949.html
33801,drowned,drowning or exhaustion related death,Del grande,2013-07-24T00:00:00Z,3Q2013,2013 -- 7,2013,0,0,1,"Shipwreck in the waters of the island of Oinusses, a man lost at sea (Jul 25, 2013)",oinusses,38.515435,26.220492,"38.515435, 26.220492",1,"Event at Oinusses on Jul 24, 2013",Eastern Mediteranean route Sea,Ekathimerini,http://www.ekathimerini.com/4dcgi/_w_articles_wsite1_1_25/07/2013_511115
69733,suicide,suicide,,2013-06-19T00:00:00Z,2Q2013,2013 -- 6,2013,1,0,1,A man from Benin committed suicide out of fear that he would be deported. His request had not been treated yet.,Nerder-over-Heembeek,50.9,4.38,"50.9, 4.38",1,Suicide at Nerder-over-Heembeek on 19 June 2013,,DHnet,
33803,died in childbirth,drowning or exhaustion related death,Del grande,2013-06-14T00:00:00Z,2Q2013,2013 -- 6,2013,0,0,2,"Woman dies in childbirth on a boat set sail from Turkey and landed in Roccella Jonica in Calabria. The body was abandoned at sea (Jun 15, 2013)",calabria,39.308771,16.346379,"39.308771, 16.346379",57,"Event at Calabria on Jun 14, 2013",Apulia & Calbria,Repubblica,http://www.repubblica.it/cronaca/2013/06/15/news/calabria_una_neonata_senza_mamma_tra_i_159_immigrati_arrivati_a_roccella-61143123/?ref=search
54509,shot by the police,authorities related death,,2013-05-31T05:00:00Z,2Q2013,2013 -- 5,2013,12,0,12,Libyan guards killed a dozen Sudanese migrants who had illegally crossed the border.,Border between Libya and Sudan,20,25,"20, 25",12,Migrants shot by Libyan border guards in June 2013,,Sudan Tribune,http://www.sudantribune.com/spip.php?article50867
53696,exhaustion,drowning or exhaustion related death,Puls,2013-05-30T00:00:00Z,2Q2013,2013 -- 5,2013,0,0,2,Died in the transfer from a detention center in southern Libya to the border with Niger.,Libya,26.3351,17.228331,"26.3351, 17.228331",1371,"Event at Libya on May 30, 2013",Central Mediteranean route,MISNA,http://www.misna.org/en/other/hundreds-of-migrants-deported-from-libya-to-niger-30-05-2013-813.html
53769,suicide,suicide,,2013-05-29T05:00:40Z,2Q2013,2013 -- 5,2013,1,0,1,"After he was attacked by neo-Nazis in Dresden, the victim killed himself in a detention center prior to his expulsion to Italy.","Eisenhüttenstadt, Germany",52.143662,14.641902,"52.143662, 14.641902",1,"Suicide at Eisenhüttenstadt on May 29, 2013",,PNN,http://www.pnn.de/brandenburg-berlin/755823/
33804,drowned,drowning or exhaustion related death,Del grande,2013-05-14T00:00:00Z,2Q2013,2013 -- 5,2013,0,0,1,"Shipwreck off the coast of the island Farmakonisi, dies drowned a six year old girl (May 15, 2013)",farmakonisi,37.282956,27.088338,"37.282956, 27.088338",15,"Event at Farmakonisi on May 14, 2013",Eastern Mediteranean route Sea,Ekathimerini,http://www.ekathimerini.com/4dcgi/_w_articles_wsite1_1_15/05/2013_499041
54053,suicide,suicide,,2013-05-01T05:00:00Z,2Q2013,2013 -- 5,2013,1,0,1,Moncef S. committed suicide at home after receiving warrant of deportation,"Zurich, Switzerland",47.36865,8.539183,"47.36865, 8.539183",9,Suicide in reaction to deportation warrant,,Verein Bildung für alle,http://www.bildung-fuer-alle.ch/artikel/selbstmord-von-asz-und-bleiberecht-aktivist-wegen-bevorstehender-ausschaffung-%E2%80%93-500-personen
33806,drowned,drowning or exhaustion related death,Del grande,2013-04-17T00:00:00Z,2Q2013,2013 -- 4,2013,0,0,10,"Shipwreck off the coast of Al Hoceima, on the route for Spain, killed 10 of the 34 passengers (Apr 18, 2013)",hoceima,35.249299,-3.937112,"35.249299, -3.937112",149,"Event at Hoceima on Apr 17, 2013",Western Mediteranean route,Diario Sur,http://www.diariosur.es/v/20130418/andalucia/inmigrante-muere-tarifa-otros-20130418.html
33805,drowned,drowning or exhaustion related death,Del grande,2013-04-17T00:00:00Z,2Q2013,2013 -- 4,2013,0,0,1,"One of the passengers drowned in an inflatable rescue off the coast of Tarifa (Apr 18, 2013)",tarifa,36.018776,-5.600819,"36.018776, -5.600819",492,"Event at Tarifa on Apr 17, 2013",Western Mediteranean route,Diario Sur,http://www.diariosur.es/v/20130418/andalucia/inmigrante-muere-tarifa-otros-20130418.html
69705,heart failure,drowning or exhaustion related death,,2013-03-30T00:00:00Z,1Q2013,2013 -- 3,2013,1,0,1,Khalid Shahzad died in a train hours after being released from jail.,Train to Manchester,52.8,-2,"52.8, -2",1,Death of Khalid Shahzad,,Guardian,
53695,exhaustion,drowning or exhaustion related death,Puls,2013-03-23T00:00:00Z,1Q2013,2013 -- 3,2013,0,0,1,"Arriving in Chad after an expulsion from Libya, died from a combination of exhaustion, dehydration, lack of food and water and sickness.","Faya, Chad",17.916944,19.116667,"17.916944, 19.116667",1,"Event at Faya, Chad on March 23, 2013",Central Mediteranean route,IOM,http://www.iom.int/cms/render/live/en/sites/iom/home/news-and-views/press-briefing-notes/pbn-2013/pbn-listing/chadian-migrants-expelled-from-l.html
33807,drowned,drowning or exhaustion related death,Del grande,2013-03-15T00:00:00Z,1Q2013,2013 -- 3,2013,0,0,2,"A man and a woman are lost at sea off the coast of Tarifa after the sinking of the boat they were traveling with eight other passengers (Mar 16, 2013)",tarifa,36.018776,-5.600819,"36.018776, -5.600819",492,"Event at Tarifa on Mar 15, 2013",Western Mediteranean route,El Pais,http://ccaa.elpais.com/ccaa/2013/03/16/andalucia/1363437379_530495.html
33808,drowned,drowning or exhaustion related death,Del grande,2013-03-01T00:00:00Z,1Q2013,2013 -- 3,2013,0,0,4,"Shipwreck in the Straits of Gibraltar, off the coast of Tarifa, a small boat carrying six passengers. 2 dead, 2 missing in sea (Mar 2, 2013)",tarifa,36.018776,-5.600819,"36.018776, -5.600819",492,"Event at Tarifa on Mar 01, 2013",Western Mediteranean route,El Pais,http://ccaa.elpais.com/ccaa/2013/03/02/andalucia/1362228735_012663.html
69757,murdered,malicious intent related death / manslaughter,,2013-12-13T00:00:00Z,4Q2013,2013 -- 12,2013,1,0,1,An undocumented migrant died from knife wounds. No other information is known.,"Parce de la Reine Astrid, Charleroi",50.409626,4.446211,"50.409626, 4.446211",1,Homicide in Charleroi on 14 December 2013,,Belga,
53706,fall,"violent accidental death (transport, blown in minefield...)",Puls,2013-12-07T00:00:00Z,4Q2013,2013 -- 12,2013,0,0,1,Died after falling from the fourth floor of his residential building during a police operation.,Tangiers,35.766667,-5.8,"35.766667, -5.8",190,"Event at Tangiers on December 7, 2013",Western Mediterranean route,Cameroon Online,http://www.cameroononline.org/2013/12/07/sub-saharan-africans-tangiers-revolt-migrants-death/
53704,drowned,drowning or exhaustion related death,Puls,2013-11-16T00:00:00Z,4Q2013,2013 -- 11,2013,0,0,12,A boat capsized on its way to Greece.,Lefkada,38.833366,20.706911,"38.833366, 20.706911",12,"Event at Lefkada on November 16, 2013",Eastern Mediteranean route Sea,Ekathimerini,http://www.ekathimerini.com/4dcgi/_w_articles_wsite1_1_16/11/2013_528141
53705,exhaustion,drowning or exhaustion related death,Puls,2013-11-01T00:00:00Z,4Q2013,2013 -- 11,2013,0,0,87,"Rescuers have found the decomposed bodies of 87 people stranded in the harsh Niger desert, most of them children and some eaten by jackals.",Algeria,28.033886,1.659626,"28.033886, 1.659626",127,"Event at Algeria on November 1, 2013",Central Mediteranean route,AFP,http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/international/01-Nov-2013/bodies-of-87-migrants-found-in-niger-desert
72762,drowned,drowning or exhaustion related death,SZ,2013-10-11T00:00:00Z,4Q2013,2013 -- 10,2013,27,0,27,At least 27 people died when a boat carrying more than 200 migrants capsized,Off Lampedusa,34.7,12.7,"34.7, 12.7",27,"Event off Lampedusa on Oct 10, 2014",Central Mediterranean Route,BBC,
33789,drowned,drowning or exhaustion related death,Del grande,2013-10-10T00:00:00Z,4Q2013,2013 -- 10,2013,0,0,34,"Is shipwrecked off the coast of Alexandria, a boat heading in Sicily. Recovered the bodies of 12 victims, 22 passengers still missing (Oct 11, 2013)",alexandria,31.200092,29.918739,"31.200092, 29.918739",133,"Event at Alexandria on Oct 10, 2013",Central Mediteranean route,Repubblica,http://www.repubblica.it/solidarieta/emergenza/2013/10/11/news/profughi_dall_egitto-68401013/?ref=HREA-1
33790,drowned,drowning or exhaustion related death,Del grande,2013-10-02T00:00:00Z,4Q2013,2013 -- 10,2013,0,0,325,"Lampedusa, sinking boat after a fire on board, opposite the island of rabbits. According to the story of the 155 survivors, 518 passengers were traveling on the vessel. The budget of the massacre is 363 deaths (Oct 3, 2013)",lampedusa,35.508622,12.59292,"35.508622, 12.59292",3843,"Event at Lampedusa on Oct 02, 2013",Central Mediteranean route,Repubblica,http://palermo.repubblica.it/cronaca/2013/10/03/news/naufraga_barcone_morti_a_lampedusa-67780674/?ref=HREA-1
69715,heart failure,drowning or exhaustion related death,,2013-01-23T00:00:00Z,1Q2013,2013 -- 1,2013,1,0,1,"Terminally ill Canadian man, 84, was kept in handcuffs by staff at Harmondsworth removal centre until after his heart stopped.",IDC Harmondsworth,51.48309,-0.483529,"51.48309, -0.483529",2,Death of Alois Dvorzac on 23 January 2013,,Guardian,
33809,drowned,drowning or exhaustion related death,Del grande,2013-01-21T00:00:00Z,1Q2013,2013 -- 1,2013,0,0,1,"Found on the banks of the Evros River at the border between Turkey and Greece, the lifeless body of a sixteen year old frozen to death trying to cross the border (Jan 22, 2013)",evros,41.244376,26.135943,"41.244376, 26.135943",188,"Event at Evros on Jan 21, 2013",Eastern Mediteranean route Land,Ekathimerini,http://www.ekathimerini.com/4dcgi/_w_articles_wsite1_1_22/01/2013_479643
53690,suicide,suicide,Puls,2013-01-17T06:00:02Z,1Q2013,2013 -- 1,2013,1,0,1,Russian Alexander Dolmatov who had sought political asylum in the Netherlands has committed suicide while awaiting deportation to his homeland.,Rotterdam,51.942889,4.447575,"51.942889, 4.447575",1,"Event at Rotterdam on Jan 17, 2013",,BBC,http://www.bbc.co.uk/news/world-europe-21080561
33810,drowned,drowning or exhaustion related death,Del grande,2013-01-13T00:00:00Z,1Q2013,2013 -- 1,2013,0,0,3,"The bodies of three castaways fished in the waters of the island of Chios (Jan 14, 2013)",chios,38.370981,26.136346,"38.370981, 26.136346",31,"Event at Chios on Jan 13, 2013",Eastern Mediteranean route Sea,Ekathimerini,http://www.ekathimerini.com/4dcgi/_w_articles_wsite1_1_14/01/2013_478257
54052,suicide,suicide,,2013-01-04T06:00:00Z,1Q2013,2013 -- 1,2013,1,0,1,Suicide after being arrested for lack of identification papers,"Zurich, Switzerland",47.36865,8.539183,"47.36865, 8.539183",9,Suicide at prison in Zurich,,Verein Bildung für alle,http://www.bildung-fuer-alle.ch/artikel/kraftvoller-protest-gegen-todesfall-polizeigef%C3%A4ngnis
54051,suicide,suicide,,2013-01-04T06:00:00Z,1Q2013,2013 -- 1,2013,1,0,1,Suicide at prison after being arrested for lack of identification papers,"Zurich, Switzerland",47.36865,8.539183,"47.36865, 8.539183",9,Suicide at prison in Zurich,,Verein Bildung für alle,
33830,drowned,drowning or exhaustion related death,United,2012-09-30T00:00:00Z,3Q2012,2012 -- 9,2012,0,0,1,"drowned trying to swim ashore with life jacket, body found floating 33 miles from Motril (E)  (Sep 30, 2012). From Del Grande's data set (translated): The lifeless bodies of two shipwrecked sailors drowned during the crossing of the Straits of Gibraltar were recovered one to 33 miles from Motril and the other 25 miles from Cadiz (Jan 10, 2012)",cadiz,36.527061,-6.288596,"36.527061, -6.288596",185,"Event at Cadiz on Sep 30, 2012",Western Mediteranean route,MUGAK/ElDia,http://fortresseurope.blogspot.com/2012/01/spagna-trovati-i-corpi-di-2-naufraghi.html
33831,drowned,drowning or exhaustion related death,Del grande,2012-09-17T00:00:00Z,3Q2012,2012 -- 9,2012,0,0,1,"Ceuta, found the lifeless body of a young man drowned while crossing (Sep 18, 2012)",ceuta,35.888384,-5.324636,"35.888384, -5.324636",213,"Event at Ceuta on Sep 17, 2012",Western Mediteranean route,Abc,http://fortresseurope.blogspot.it/2012/09/spagna-ritrovato-un-cadavere-ceuta.html
33832,drowned,drowning or exhaustion related death,United,2012-09-16T00:00:00Z,3Q2012,2012 -- 9,2012,0,0,1,"drowned, small boat sunk off Mostaganem (DZ) was on the way to Spain (Sep 16, 2012). From Del Grande's data set (translated): Shipwreck off the coast of Mostaganem on route to Spain, 1 dead (Sep 18, 2012)",mostaganem,35.939838,0.089767,"35.939838, 0.089767",38,"Event at Mostaganem on Sep 16, 2012",Western Mediteranean route,TSA/FE,http://fortresseurope.blogspot.it/2012/09/algeria-annega-un-ragazzo-sulla-rotta.html
33833,car accident,"violent accidental death (transport, blown in minefield...)",United,2012-09-15T00:00:00Z,3Q2012,2012 -- 9,2012,0,0,1,"car accident near Alexandroupolis(GR),car driven by smuggler overturned during police chase (Sep 15, 2012)",alexandroupolis,40.845719,25.873962,"40.845719, 25.873962",63,"Event at Alexandroupolis on Sep 15, 2012",,PICUM,
33834,drowned,drowning or exhaustion related death,Del grande,2012-09-13T00:00:00Z,3Q2012,2012 -- 9,2012,0,0,1,"Fished among the rocks of the island of Linosa's lifeless body of a young man drowned (Sep 14, 2012)",linosa,35.866074,12.868741,"35.866074, 12.868741",5,"Event at Linosa on Sep 13, 2012",Central Mediteranean route,TgCom,http://fortresseurope.blogspot.it/2012/09/linosa-ritrovato-un-cadavere-sugli.html
33835,drowned,drowning or exhaustion related death,United,2012-09-09T00:00:00Z,3Q2012,2012 -- 9,2012,0,0,2,"body washed ashore near Galapagos beach (E), reportedly was travelling on boat from Melilla (Sep 9, 2012)",melilla,35.292278,-2.938097,"35.292278, -2.938097",79,"Event at Melilla on Sep 09, 2012",Western Mediteranean route,FE/SUR,
33836,shot by the police,authorities related death,Del grande,2012-09-08T00:00:00Z,3Q2012,2012 -- 9,2012,0,0,1,"The Egyptian border police firing on the border with Israel, killing a 25-year old Eritrean (Sep 9, 2012)","Sinai, Egypt",24.088938,32.899829,"24.088938, 32.899829",129,"Event at Sinai, Egypt on Sep 08, 2012",,Gulf News,http://fortresseurope.blogspot.it/2012/09/egitto-ucciso-25enne-eritreo-al-confine.html
33837,unknown,unknown - supposedly exhaustion related death,United,2012-09-08T00:00:00Z,3Q2012,2012 -- 9,2012,0,0,1,"stowaway, body fell from a plane from Angola to Heathrow, onto a street in Mortlake (GB) (Sep 8, 2012)",heathrow,51.47238,-0.45094,"51.47238, -0.45094",13,"Event at Heathrow on Sep 08, 2012",,BBC/IRR/Evening Standard/MNS,
33838,suicide - jumped in water,suicide,United,2012-09-06T00:00:00Z,3Q2012,2012 -- 9,2012,0,0,1,"suicide, body found in River Thames (GB), he was waiting for asylum claim to be processed  (Sep 6, 2012)",thames,51.488623,0.461426,"51.488623, 0.461426",2,"Event at Thames on Sep 06, 2012",,IRR/ZimEye,
33876,suicide - other,suicide,United,2012-09-04T05:00:00Z,3Q2012,2012 -- 9,2012,0,0,1,"suicide, in a refugee centre in Kirchheim (D), depression due to living conditions  (Apr 8, 2012)",kirchheim,50.832793,9.572866,"50.832793, 9.572866",2,"Event at Kirchheim on Sep 4, 2012",,RTA/INDd/VRF/Karawane,
33839,drowned,drowning or exhaustion related death,United,2012-08-28T00:00:00Z,3Q2012,2012 -- 8,2012,0,0,7,"drowned, family of asylum seekers, shipwreck on the way from Latakia (Syria) to Cyprus (Aug 28, 2012). From Del Grande's data set (translated): Shipwreck off the coast of Northern Cyprus, Syria drowns an entire family of 7 people, including 2 children (Aug 28, 2012)",latakia,35.52145,35.7924,"35.52145, 35.7924",35,"Event at Latakia on Aug 28, 2012",Eastern Mediteranean route Sea,FE/CypMail,http://fortresseurope.blogspot.com/2012/08/famiglia-siriana-annegata-al-largo-di.html
33840,drowned,drowning or exhaustion related death,United,2012-08-25T00:00:00Z,3Q2012,2012 -- 8,2012,0,0,40,"drowned, 10 found, 30 missing after vessel from Tripoli (LY) capsized off Libyan coasts (Aug 25, 2012). From Del Grande's data set (translated): Wreck in front of the port of Bardia, lost at sea 39 Egyptians, a sole survivor (Aug 27, 2012)",tripoli,32.876174,13.187507,"32.876174, 13.187507",1281,"Event at Tripoli on Aug 25, 2012",Central Mediteranean route,MNS/FE,http://fortresseurope.blogspot.com/2012/08/libia-39-egiziani-annegati-in-un.html
33841,frozen,"violent accidental death (transport, blown in minefield...)",United,2012-08-22T00:00:00Z,3Q2012,2012 -- 8,2012,0,0,1,"stowaway, found in landing gear bay of plane at Heathrow (GB), travelled from South Africa  (Aug 22, 2012)",heathrow,51.47238,-0.45094,"51.47238, -0.45094",13,"Event at Heathrow on Aug 22, 2012",,Guardian Un./IRR,
33842,drowned,drowning or exhaustion related death,United,2012-08-18T00:00:00Z,3Q2012,2012 -- 8,2012,0,0,39,"3 found, 36 missing after overcrowded boat sank near Libya coast on the way to Europe (Aug 18, 2012)",libya,26.3351,17.228331,"26.3351, 17.228331",1371,"Event at Libya on Aug 18, 2012",Central Mediteranean route,WSLS10/FE,
